last update: Fri Apr 29 2016 23:57:36 GMT+0800 (HKT)

order	team	score	std
0	[1519]	875	100
1	[1241]	865	99
2	[195]	810	91
3	[973]	810	91
4	[67]	770	85
5	[254]	741	81
6	[27]	730	79
7	[133]	729	79
8	[118]	728	79
9	[230]	721	78
10	[3620]	716	77
11	[4001]	715	77
12	[2823]	705	76
13	[2451]	705	76
14	[5172]	703	75
15	[1024]	700	75
16	[971]	699	75
17	[166]	694	74
18	[16]	688	73
19	[148]	688	73
20	[225]	678	72
21	[4003]	675	71
22	[987]	665	70
23	[2035]	665	70
24	[2056]	662	70
25	[5895]	660	69
26	[48]	650	68
27	[5546]	650	68
28	[610]	647	67
29	[360]	646	67
30	[708]	644	67
31	[3314]	643	67
32	[2614]	640	66
33	[1806]	640	66
34	[1391]	640	66
35	[1918]	638	66
36	[333]	635	66
37	[4564]	635	66
38	[876]	634	66
39	[1678]	634	66
40	[868]	634	66
41	[3641]	633	65
42	[2767]	629	65
43	[1114]	628	65
44	[3538]	623	64
45	[122]	622	64
46	[1731]	620	64
47	[3357]	620	64
48	[1425]	620	64
49	[4678]	619	63
50	[2471]	618	63
51	[2393]	617	63
52	[1736]	617	63
53	[1323]	617	63
54	[294]	616	63
55	[330]	616	63
56	[2137]	615	63
57	[2485]	614	63
58	[1885]	614	63
59	[3663]	613	63
60	[558]	610	62
61	[3476]	609	62
62	[910]	609	62
63	[1011]	607	62
64	[3130]	605	61
65	[2052]	605	61
66	[5437]	605	61
67	[2996]	605	61
68	[41]	605	61
69	[245]	605	61
70	[4587]	604	61
71	[5663]	602	61
72	[3238]	602	61
73	[359]	602	61
74	[1305]	601	61
75	[6167]	601	61
76	[2122]	601	61
77	[4967]	600	61
78	[1538]	600	61
79	[70]	599	61
80	[5150]	599	61
81	[125]	599	61
82	[4561]	599	61
83	[2637]	599	61
84	[2403]	598	60
85	[548]	598	60
86	[5891]	597	60
87	[842]	597	60
88	[5114]	595	60
89	[1690]	595	60
90	[229]	594	60
91	[172]	593	60
92	[3452]	593	60
93	[1718]	593	60
94	[5499]	593	60
95	[3600]	593	60
96	[639]	592	60
97	[3970]	592	60
98	[2046]	591	59
99	[2557]	591	59
100	[2834]	591	59
101	[1747]	591	59
102	[3419]	589	59
103	[2590]	589	59
104	[694]	588	59
105	[2481]	588	59
106	[5406]	588	59
107	[4451]	587	59
108	[2054]	586	59
109	[20]	586	59
110	[1501]	585	59
111	[4103]	584	58
112	[4242]	583	58
113	[329]	581	58
114	[1676]	581	58
115	[33]	580	58
116	[3309]	580	58
117	[5460]	579	58
118	[3618]	579	58
119	[25]	579	58
120	[3937]	579	58
121	[3683]	578	58
122	[2147]	578	58
123	[3245]	577	57
124	[858]	577	57
125	[2439]	577	57
126	[3990]	576	57
127	[4391]	576	57
128	[1481]	575	57
129	[179]	575	57
130	[175]	575	57
131	[5813]	575	57
132	[2522]	575	57
133	[4039]	574	57
134	[1477]	573	57
135	[3310]	572	57
136	[834]	572	57
137	[120]	571	57
138	[319]	570	56
139	[217]	570	56
140	[3478]	570	56
141	[1836]	569	56
142	[4469]	569	56
143	[1099]	569	56
144	[2081]	569	56
145	[2175]	568	56
146	[3234]	568	56
147	[4264]	567	56
148	[1987]	567	56
149	[126]	567	56
150	[2771]	566	56
151	[1712]	565	56
152	[379]	565	56
153	[233]	565	56
154	[1124]	565	56
155	[177]	564	56
156	[1540]	564	56
157	[1418]	563	55
158	[1684]	562	55
159	[5914]	562	55
160	[228]	562	55
161	[3481]	562	55
162	[4613]	562	55
163	[1261]	561	55
164	[45]	561	55
165	[5907]	561	55
166	[3098]	560	55
167	[1306]	558	55
168	[461]	558	55
169	[5832]	557	55
170	[85]	557	55
171	[5618]	557	55
172	[2846]	556	54
173	[2648]	556	54
174	[346]	556	54
175	[303]	556	54
176	[4085]	556	54
177	[3504]	555	54
178	[1756]	555	54
179	[364]	555	54
180	[1511]	555	54
181	[2883]	555	54
182	[4920]	555	54
183	[78]	554	54
184	[365]	554	54
185	[4241]	554	54
186	[4330]	553	54
187	[494]	553	54
188	[2064]	553	54
189	[4488]	553	54
190	[2881]	553	54
191	[5448]	553	54
192	[231]	552	54
193	[2468]	552	54
194	[191]	552	54
195	[573]	552	54
196	[904]	552	54
197	[1640]	551	54
198	[869]	551	54
199	[1559]	551	54
200	[1058]	550	54
201	[3339]	550	54
202	[2067]	550	54
203	[1023]	549	53
204	[4028]	549	53
205	[1764]	549	53
206	[870]	549	53
207	[4525]	548	53
208	[2486]	548	53
209	[4550]	547	53
210	[525]	546	53
211	[5801]	546	53
212	[5254]	546	53
213	[3166]	544	53
214	[4256]	543	53
215	[2013]	543	53
216	[3352]	543	53
217	[5167]	542	52
218	[3044]	542	52
219	[1318]	541	52
220	[1768]	541	52
221	[5401]	541	52
222	[1619]	540	52
223	[4334]	540	52
224	[1746]	540	52
225	[68]	540	52
226	[2502]	540	52
227	[1250]	539	52
228	[1137]	539	52
229	[1983]	539	52
230	[193]	538	52
231	[3637]	538	52
232	[5677]	537	52
233	[2783]	537	52
234	[1710]	537	52
235	[597]	537	52
236	[5472]	536	52
237	[135]	535	51
238	[503]	535	51
239	[4911]	534	51
240	[4146]	534	51
241	[207]	533	51
242	[3688]	533	51
243	[1089]	533	51
244	[3539]	532	51
245	[1310]	532	51
246	[5039]	532	51
247	[3039]	532	51
248	[4276]	532	51
249	[3536]	532	51
250	[1796]	531	51
251	[3360]	531	51
252	[2990]	531	51
253	[5166]	530	51
254	[3604]	529	51
255	[5933]	529	51
256	[5851]	529	51
257	[4063]	529	51
258	[1257]	528	50
259	[2474]	527	50
260	[1648]	527	50
261	[5830]	527	50
262	[746]	526	50
263	[5124]	526	50
264	[4159]	526	50
265	[2341]	526	50
266	[1923]	526	50
267	[6035]	525	50
268	[5279]	525	50
269	[6220]	525	50
270	[4905]	524	50
271	[1665]	523	50
272	[103]	522	50
273	[1625]	522	50
274	[5817]	522	50
275	[1986]	522	50
276	[3546]	522	50
277	[6193]	522	50
278	[111]	521	50
279	[6166]	521	50
280	[3284]	521	50
281	[180]	520	49
282	[4499]	520	49
283	[5842]	519	49
284	[4216]	519	49
285	[4131]	519	49
286	[5816]	519	49
287	[2638]	518	49
288	[2980]	518	49
289	[5624]	518	49
290	[2337]	518	49
291	[3147]	518	49
292	[263]	517	49
293	[1675]	517	49
294	[5900]	516	49
295	[3930]	516	49
296	[74]	516	49
297	[4362]	515	49
298	[1262]	515	49
299	[5505]	515	49
300	[4468]	515	49
301	[4180]	514	49
